k,bin_mid_years,hazard_per_year_empirical,hazard_per_year_exact_erlang,rel_err,survival_left,events_in_bin,n_at_risk_left
4,65.5,0.03397281576625746,0.034965578643176266,0.028392576798169276,0.334385,2272,66877
4,66.5,0.03382091169414132,0.03533846902670101,0.04294349399836901,0.323025,2185,64605
4,67.5,0.035036847164370395,0.03570429751343073,0.018693837872297146,0.3121,2187,62420
4,68.5,0.03518005080271612,0.03606323172342612,0.024489788588089787,0.301165,2119,60233
4,69.5,0.034415115118560075,0.0364154357653324,0.054930570092933895,0.29057,2000,58114
4,70.5,0.035552625013365646,0.03676107018541991,0.03287295951828826,0.28057,1995,56114
4,71.5,0.037399065023374416,0.03710029193625615,0.008053119571986199,0.270595,2024,54119
4,72.5,0.03545445820136289,0.037433254362392754,0.05286198581274982,0.260475,1847,52095
4,73.5,0.036817385766597675,0.03776010720074988,0.024966068796899128,0.25124,1850,50248
4,74.5,0.03646844910946733,0.03808099659365328,0.04234520176540496,0.24199,1765,48398
4,75.5,0.03778440160401433,0.03839606511271378,0.015930369606986648,0.233165,1762,46633
4,76.5,0.03799781596131131,0.038705451791953616,0.018282588056223435,0.224355,1705,44871
4,77.5,0.03894268637353473,0.03900929216877241,0.0017074340890245038,0.21583,1681,43166
4,78.5,0.03866457755815355,0.039307718331509804,0.016361691816660362,0.207425,1604,41485
4,79.5,0.040219653469070485,0.039600858972515134,0.015625784707973732,0.199405,1604,39881
4,80.5,0.03788175666849544,0.03988883944576203,0.05031690079616559,0.191385,1450,38277
4,81.5,0.03999782768077769,0.04017178182816469,0.004330257197230968,0.184135,1473,36827
4,82.5,0.03776093228488997,0.04044980498385671,0.06647430562495553,0.17677,1335,35354
4,83.5,0.03677356771216085,0.04072302463078486,0.09698338849905533,0.170095,1251,34019
4,84.5,0.0413818359375,0.04099155340904945,0.009521047532792272,0.16384,1356,32768
4,85.5,0.04170380746211639,0.04125550095050262,0.01086658751645351,0.15706,1310,31412
4,86.5,0.04268819347551658,0.041514973949167935,0.028260153259042468,0.15051,1285,30102
4,87.5,0.039421175000867545,0.04177007623211487,0.056234066181602455,0.144085,1136,28817
4,88.5,0.04103897980564286,0.04202090883046117,0.023367629405161777,0.138405,1136,27681
4,89.5,0.040723300056507816,0.042267570050226404,0.03653557542776973,0.132725,1081,26545
4,90.5,0.04162739553879988,0.04251015554279752,0.020765861538872006,0.12732,1060,25464
4,91.5,0.04114079659072283,0.04274875837480166,0.03761423361073907,0.12202,1004,24404
4,92.5,0.041923076923076924,0.04298346909721353,0.024669767154865352,0.117,981,23400
4,93.5,0.043935947187653326,0.04321437581354923,0.016697484587475196,0.112095,985,22419
4,94.5,0.04119623028832696,0.04344156424702473,0.05168630544540186,0.10717,883,21434
4,95.5,0.04301493844581772,0.04366511780657696,0.014890131835652824,0.102755,884,20551
5,8.5,0.00024006601815499263,0.00020170397370647324,0.19018982989569258,0.999725,48,199945
5,9.5,0.0002401236636867987,0.00029352107456875903,0.1819201941816674,0.999485,48,199897
5,10.5,0.00039029467247772066,0.00040855735447932375,0.044700411830494495,0.999245,78,199849
5,11.5,0.0005706533981408713,0.0005483949695134239,0.04058831656898072,0.998855,114,199771
5,12.5,0.0006811682034689493,0.0007141916210921754,0.04623887574139439,0.998285,136,199657
5,13.5,0.0009372447010590364,0.0009066927730298148,0.03369600920842119,0.997605,187,199521
5,14.5,0.0010685582991361233,0.0011262555465872386,0.05122926819401568,0.99667,213,199334
5,15.5,0.0012906725056623862,0.0013728807568329753,0.05988011031652228,0.995605,257,199121
5,16.5,0.0016141684769490708,0.0016462501414802844,0.01948772165472151,0.99432,321,198864
5,17.5,0.001989493459855044,0.0019457663717831661,0.022472938532597235,0.992715,395,198543
5,18.5,0.0020439267618144012,0.0022705939216715724,0.09982725563287984,0.99074,405,198148
5,19.5,0.0024678496836803327,0.002619699304024687,0.05796452291721622,0.988715,488,197743
5,20.5,0.0030113305112671415,0.002991889560847162,0.006497883703459577,0.986275,594,197255
5,21.5,0.003259415949273115,0.00338584821759664,0.03734138691345998,0.983305,641,196661
5,22.5,0.003805734108764412,0.003800168182955486,0.0014646524945633329,0.9801,746,196020
5,23.5,0.003948298288558641,0.00423338129718395,0.0673416799981959,0.97637,771,195274
5,24.5,0.0042878516012606485,0.004683984409071847,0.08457176053873632,0.972515,834,194503
5,25.5,0.004915603426464741,0.0051504619983127895,0.04559951552404118,0.968345,952,193669
5,26.5,0.005546993778441964,0.005631305462076021,0.014971960622959236,0.963585,1069,192717
5,27.5,0.006277133077308399,0.006125029256899161,0.024833158182535987,0.95824,1203,191648
5,28.5,0.006663341122108746,0.006630184134828289,0.00500091499816471,0.952225,1269,190445
5,29.5,0.0072842221000549755,0.007145367740683723,0.019432780006640445,0.94588,1378,189176
5,30.5,0.0075932651039947174,0.007669232849654689,0.009905520819255387,0.93899,1426,187798
5,31.5,0.007855257227480523,0.008200493524818475,0.04209945368447733,0.93186,1464,186372
5,32.5,0.008820602678088563,0.008737929465791388,0.009461419049082138,0.92454,1631,184908
5,33.5,0.009362876956737615,0.009280388805174292,0.008888437035884923,0.916385,1716,183277
5,34.5,0.009825898733758902,0.009826789590887825,9.06559686338847e-05,0.907805,1784,181561
5,35.5,0.010535274256439922,0.010376120171592958,0.015338496684212057,0.898885,1894,179777
5,36.5,0.010765503167812551,0.010927438680469486,0.01481916461781299,0.889415,1915,177883
5,37.5,0.01142253136933988,0.011479871790655518,0.004994866002102265,0.87984,2010,175968
5,38.5,0.012526012025891308,0.012032612894345188,0.041005152902242555,0.86979,2179,173958
5,39.5,0.012632510376704952,0.012584919837380975,0.0037815528377557165,0.858895,2170,171779
5,40.5,0.012900258830604508,0.013136112322476738,0.01795458854814063,0.848045,2188,169609
5,41.5,0.013540714725153953,0.013685569077136295,0.010584459525643136,0.837105,2267,167421
5,42.5,0.014380517577533695,0.014232724866965356,0.01038400671338566,0.82577,2375,165154
5,43.5,0.014707056807081995,0.014777067421404179,0.004737788109484802,0.813895,2394,162779
5,44.5,0.015032577859525517,0.015318134326878263,0.018641726287233876,0.801925,2411,160385
5,45.5,0.015534201830680999,0.015855509931878876,0.020264759858139896,0.78987,2454,157974
5,46.5,0.016608796296296295,0.01638882229943255,0.01342219671704919,0.7776,2583,155520
5,47.5,0.016693148159045882,0.016917740234665576,0.013275536360316585,0.764685,2553,152937
5,48.5,0.017282423662091713,0.01744197040859102,0.009147289140034447,0.75192,2599,150384
5,49.5,0.017647257840782218,0.017961254593707753,0.017481894223331997,0.738925,2608,147785
5,50.5,0.018852848591719075,0.01847536702238056,0.020431614098991663,0.725885,2737,145177
5,51.5,0.019025554619488908,0.01898411187515219,0.0021830225511344442,0.7122,2710,142440
5,52.5,0.019165533528948685,0.019487320903011914,0.016512653312621032,0.69865,2678,139730
5,53.5,0.019853778128009807,0.019984851185116833,0.006558620621835773,0.68526,2721,137052
5,54.5,0.020017717429335002,0.020476583021442094,0.02240928535911435,0.671655,2689,134331
5,55.5,0.021520487382446333,0.020962417958246365,0.026622378454219796,0.65821,2833,131642
5,56.5,0.021007848830438866,0.021442276943014493,0.020260353586989528,0.644045,2706,128809
5,57.5,0.022362671784176426,0.021916098604614714,0.02037649070750575,0.630515,2820,126103
5,58.5,0.02190894121655054,0.022383837653739757,0.021216041884125934,0.616415,2701,123283
5,59.5,0.022225539466918777,0.022845463398234827,0.027135537612423693,0.60291,2680,120582
5,60.5,0.022849485165646045,0.023300958367623352,0.019375735317592284,0.58951,2694,117902
5,61.5,0.02291507534199014,0.023750317040983297,0.0351676020809268,0.57604,2640,115208
5,62.5,0.02394996801933054,0.024193544672278397,0.010067836534385735,0.56284,2696,112568
5,63.5,0.023372651813018785,0.0246306562072881,0.05107474131757307,0.54936,2568,109872
5,64.5,0.02470550958025796,0.02506167528638528,0.014211568143682914,0.53652,2651,107304
5,65.5,0.0255797731550935,0.025486633327566764,0.0036544578614859874,0.523265,2677,104653
5,66.5,0.025407939122930885,0.02590556868433796,0.01920936642892284,0.50988,2591,101976
5,67.5,0.026784726065301606,0.026318525873273935,0.017713765363321154,0.496925,2662,99385
