lambda_s,cv,competing_mort,age,hazard_pop
0.0,0.0,True,51.5,0.003176920843091003
0.0,0.0,True,52.5,0.003445557770651449
0.0,0.0,True,53.5,0.003730141440638385
0.0,0.0,True,54.5,0.004031186654674772
0.0,0.0,True,55.5,0.004349206119097228
0.0,0.0,True,56.5,0.004684709894090958
0.0,0.0,True,57.5,0.005038204856786019
0.0,0.0,True,58.5,0.005410194178819126
0.0,0.0,True,59.5,0.00580117681881248
0.0,0.0,True,60.5,0.006211647030170148
0.0,0.0,True,61.5,0.006642093884544159
0.0,0.0,True,62.5,0.007093000811275824
0.0,0.0,True,63.5,0.007564845153073469
0.0,0.0,True,64.5,0.008058097738145089
0.0,0.0,True,65.5,0.0085732224689641
0.0,0.0,True,66.5,0.009110675927807411
0.0,0.0,True,67.5,0.009670906999168206
0.0,0.0,True,68.5,0.010254356509110893
0.0,0.0,True,69.5,0.010861456881601724
0.0,0.0,True,70.5,0.01149263181181741
0.0,0.0,True,71.5,0.012148295956403639
0.0,0.0,True,72.5,0.012828854640626572
0.0,0.0,True,73.5,0.013534703582333997
0.0,0.0,True,74.5,0.014266228632616612
0.0,0.0,True,75.5,0.015023805533036328
0.0,0.0,True,76.5,0.015807799689265493
0.0,0.0,True,77.5,0.016618565960959775
0.0,0.0,True,78.5,0.01745644846766765
0.0,0.0,True,79.5,0.018321780410560155
0.0,0.0,True,80.5,0.019214883909748213
0.0,0.0,True,81.5,0.020136069856937493
0.0,0.0,True,82.5,0.021085637783156808
0.0,0.0,True,83.5,0.022063875741281335
0.0,0.0,True,84.5,0.02307106020306016
0.0,0.0,True,85.5,0.024107455970344974
0.0,0.0,True,86.5,0.025173316100207052
0.0,0.0,True,87.5,0.026268881843619786
0.0,0.0,True,88.5,0.027394382597374936
0.0,0.0,True,89.5,0.028550035868894336
0.0,0.0,True,90.5,0.029736047253590463
0.0,0.0,True,91.5,0.03095261042442495
0.0,0.0,True,92.5,0.03219990713330809
0.0,0.0,True,93.5,0.03347810722397874
0.0,0.0,True,94.5,0.03478736865600035
0.0,0.0,True,95.5,0.03612783753950616
0.0,0.0,True,96.5,0.037499648180325286
0.0,0.0,True,97.5,0.038902923135119
0.0,0.0,True,98.5,0.04033777327615754
0.0,0.0,True,99.5,0.041804297865365755
0.0,0.0,True,100.5,0.0433025846372691
0.0,0.0,True,101.5,0.04483270989047014
0.0,0.0,True,102.5,0.04639473858728936
0.0,0.0,True,103.5,0.04798872446120556
0.0,0.0,True,104.5,0.0496147101317338
0.0,0.0,True,105.5,0.05127272722638265
0.0,0.0,True,106.5,0.05296279650933527
0.0,0.0,True,107.5,0.05468492801650407
0.0,0.0,True,108.5,0.05643912119661159
0.0,0.0,True,109.5,0.058225365057957224
0.0,0.0,True,110.5,0.06004363832053164
0.0,0.0,True,111.5,0.06189390957314894
0.0,0.0,True,112.5,0.0637761374352712
0.0,0.0,True,113.5,0.0656902707232044
0.0,0.0,True,114.5,0.06763624862035478
0.0,0.0,True,115.5,0.06961400085123684
0.0,0.0,True,116.5,0.0716234478589337
0.0,0.0,True,117.5,0.07366450098571628
0.0,0.0,True,118.5,0.07573706265653422
0.0,0.0,True,119.5,0.07784102656510052
0.0,0.0,True,120.5,0.07997627786229561
0.0,0.6,False,0.5,1.925480979160255e-11
0.0,0.6,False,1.5,4.4635404147525365e-09
0.0,0.6,False,2.5,5.4772787719484633e-08
0.0,0.6,False,3.5,2.811570057880758e-07
0.0,0.6,False,4.5,9.429857238299459e-07
0.0,0.6,False,5.5,2.4555968491541635e-06
0.0,0.6,False,6.5,5.4055824584732755e-06
0.0,0.6,False,7.5,1.055586220694594e-05
0.0,0.6,False,8.5,1.8841099613196782e-05
0.0,0.6,False,9.5,3.1353430382394514e-05
0.0,0.6,False,10.5,4.9318244467001856e-05
0.0,0.6,False,11.5,7.406004235181169e-05
0.0,0.6,False,12.5,0.00010695917888523238
0.0,0.6,False,13.5,0.00014940141971632887
0.0,0.6,False,14.5,0.00020272332185524705
0.0,0.6,False,15.5,0.0002681571881079269
0.0,0.6,False,16.5,0.0003467795793600945
0.0,0.6,False,17.5,0.00043946709616589477
0.0,0.6,False,18.5,0.0005468624110009502
0.0,0.6,False,19.5,0.0006693524363413637
0.0,0.6,False,20.5,0.0008070592458744706
0.0,0.6,False,21.5,0.0009598431832832151
0.0,0.6,False,22.5,0.0011273166815358034
0.0,0.6,False,23.5,0.0013088667334934096
0.0,0.6,False,24.5,0.0015036836795450804
0.0,0.6,False,25.5,0.0017107939606475142
0.0,0.6,False,26.5,0.0019290946652412752
